ds,y
1980-12-12,0.0934528037905693
1980-12-15,0.08659352362155914
1980-12-16,0.08873681724071503
1980-12-17,0.09130951762199402
1980-12-18,0.09688202291727066
1980-12-19,0.10159724950790405
1980-12-22,0.10588454455137253
1980-12-23,0.11145704239606857
1980-12-24,0.12174548953771591
1980-12-26,0.12346010655164719
1980-12-29,0.12045951932668686
1980-12-30,0.1170303076505661
1980-12-31,0.11831621825695038
1981-01-02,0.11574438214302063
1981-01-05,0.11059968918561935
1981-01-06,0.10588454455137253
1981-01-07,0.10374126583337784
1981-01-08,0.10931374877691269
1981-01-09,0.10845648497343063
1981-01-12,0.10459855198860168
1981-01-13,0.10502723604440689
1981-01-14,0.107170470058918
1981-01-15,0.10631319135427475
1981-01-16,0.11274305731058121
1981-01-19,0.10931374877691269
1981-01-20,0.11145704239606857
1981-01-21,0.11274305731058121
1981-01-22,0.11231428384780884
1981-01-23,0.11059968918561935
1981-01-26,0.1097424104809761
1981-01-27,0.10631319135427475
1981-01-28,0.10245528072118759
1981-01-29,0.09688202291727066
1981-01-30,0.09130951762199402
1981-02-02,0.09473873674869537
1981-02-03,0.09816794842481613
1981-02-04,0.09816794842481613
1981-02-05,0.09859663248062134
1981-02-06,0.0934528037905693
1981-02-09,0.0934528037905693
1981-02-10,0.09045220166444778
1981-02-11,0.08959413319826126
1981-02-12,0.08745088428258896
1981-02-13,0.08959413319826126
1981-02-17,0.0934528037905693
1981-02-18,0.08787950128316879
1981-02-19,0.08316433429718018
1981-02-20,0.08445026725530624
1981-02-23,0.08144967257976532
1981-02-24,0.08659352362155914
1981-02-25,0.08787950128316879
1981-02-26,0.09088084101676941
1981-02-27,0.09130951762199402
1981-03-02,0.09002356231212616
1981-03-03,0.08916546404361725
1981-03-04,0.08873681724071503
1981-03-05,0.08787950128316879
1981-03-06,0.0810210332274437
1981-03-09,0.07716238498687744
1981-03-10,0.0741618424654007
1981-03-11,0.07716238498687744
1981-03-12,0.07630511373281479
1981-03-13,0.07930643856525421
1981-03-16,0.08316433429718018
1981-03-17,0.0883081704378128
1981-03-18,0.08745088428258896
1981-03-19,0.0883081704378128
1981-03-20,0.09173815697431564
1981-03-23,0.09130951762199402
1981-03-24,0.08959413319826126
1981-03-25,0.08787950128316879
1981-03-26,0.08487891405820847
1981-03-27,0.08487891405820847
1981-03-30,0.08402162790298462
1981-03-31,0.08316433429718018
1981-04-01,0.09045220166444778
1981-04-02,0.09088084101676941
1981-04-03,0.08916546404361725
1981-04-06,0.0883081704378128
1981-04-07,0.09259551018476486
1981-04-08,0.09431006759405136
1981-04-09,0.09559608995914459
1981-04-10,0.09559608995914459
1981-04-13,0.09559608995914459
1981-04-14,0.09088084101676941
1981-04-15,0.0857362300157547
1981-04-16,0.0883081704378128
1981-04-20,0.09431006759405136
1981-04-21,0.0977393388748169
1981-04-22,0.10031120479106903
1981-04-23,0.09945395588874817
1981-04-24,0.09859663248062134
1981-04-27,0.09688202291727066
1981-04-28,0.09559608995914459
1981-04-29,0.09731066972017288
1981-04-30,0.09731066972017288
1981-05-01,0.09688202291727066
1981-05-04,0.09645338356494904
1981-05-05,0.09388139843940735
1981-05-06,0.09516742080450058
1981-05-07,0.09602471441030502
1981-05-08,0.09388139843940735
1981-05-11,0.09388139843940735
1981-05-12,0.0934528037905693
1981-05-13,0.09216681867837906
1981-05-14,0.09431006759405136
1981-05-15,0.09602471441030502
1981-05-18,0.09431006759405136
1981-05-19,0.09731066972017288
1981-05-20,0.1028839573264122
1981-05-21,0.10759914666414261
1981-05-22,0.107170470058918
1981-05-26,0.11317166686058044
1981-05-27,0.11317166686058044
1981-05-28,0.11360032111406326
1981-05-29,0.11360032111406326
1981-06-01,0.10802777111530304
1981-06-02,0.10802777111530304
1981-06-03,0.11017104238271713
1981-06-04,0.10845648497343063
1981-06-05,0.10459855198860168
1981-06-08,0.10674183070659637
1981-06-09,0.10802777111530304
1981-06-10,0.11274305731058121
1981-06-11,0.11145704239606857
1981-06-12,0.11102840304374695
1981-06-15,0.10888513177633286
1981-06-16,0.107170470058918
1981-06-17,0.10674183070659637
1981-06-18,0.10374126583337784
1981-06-19,0.09988262504339218
1981-06-22,0.10159724950790405
1981-06-23,0.09902527928352356
1981-06-24,0.10116858035326004
1981-06-25,0.09988262504339218
1981-06-26,0.09645338356494904
1981-06-29,0.08916546404361725
1981-06-30,0.0883081704378128
1981-07-01,0.0883081704378128
1981-07-02,0.08530756086111069
1981-07-06,0.08616487681865692
1981-07-07,0.08959413319826126
1981-07-08,0.08273563534021378
1981-07-09,0.07630511373281479
1981-07-10,0.07802049815654755
1981-07-13,0.08144967257976532
1981-07-14,0.08359294384717941
1981-07-15,0.0857362300157547
1981-07-16,0.08873681724071503
1981-07-17,0.08273563534021378
1981-07-20,0.08230701833963394
1981-07-21,0.07759105414152145
1981-07-22,0.07973510026931763
1981-07-23,0.08230701833963394
1981-07-24,0.0857362300157547
1981-07-27,0.08273563534021378
1981-07-28,0.08144967257976532
1981-07-29,0.08445026725530624
1981-07-30,0.0857362300157547
1981-07-31,0.08487891405820847
1981-08-03,0.08616487681865692
1981-08-04,0.08873681724071503
1981-08-05,0.08659352362155914
1981-08-06,0.08659352362155914
1981-08-07,0.08659352362155914
1981-08-10,0.08402162790298462
1981-08-11,0.08230701833963394
1981-08-12,0.07973510026931763
1981-08-13,0.07844911515712738
1981-08-14,0.0758763924241066
1981-08-17,0.0741618424654007
1981-08-18,0.07330447435379028
1981-08-19,0.0741618424654007
1981-08-20,0.06901796162128448
